epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,310.865,1.34603,2.34076,1.4613,0.7739,0.76697,0.85702,0.56074,1.16385,1.40198,1.32071,0.000471372,0.000471372,0.000471372
2,644.917,1.24827,1.26345,1.40982,0.72971,0.9022,0.8663,0.57875,1.08593,1.14228,1.19284,0.000853882,0.000853882,0.000853882
3,984.074,1.22191,1.13214,1.34193,0.77452,0.91346,0.86398,0.58045,1.10696,1.01831,1.19322,0.00114208,0.00114208,0.00114208
4,1353.42,1.19834,1.04336,1.29484,0.81233,0.89923,0.90642,0.61434,1.10469,0.93578,1.19008,0.00100459,0.00100459,0.00100459
5,1649.44,1.16725,0.99798,1.26683,0.80099,0.93172,0.88816,0.60265,1.07625,0.918,1.1757,0.000863116,0.000863116,0.000863116
6,1899.61,1.16341,0.97871,1.26775,0.81546,0.91373,0.90833,0.60989,1.08017,0.89248,1.21465,0.000721645,0.000721645,0.000721645
7,2157.48,1.14557,0.92944,1.25573,0.84609,0.90703,0.91386,0.62934,1.04913,0.81674,1.16824,0.000580174,0.000580174,0.000580174
8,2410.3,1.12364,0.89856,1.23069,0.84731,0.90188,0.91539,0.61549,1.05676,0.83652,1.17616,0.000438703,0.000438703,0.000438703
9,2658.63,1.10041,0.87617,1.21824,0.83899,0.9157,0.92257,0.64552,1.03619,0.78181,1.15183,0.000297232,0.000297232,0.000297232
10,2898.18,1.0915,0.85313,1.21572,0.86236,0.89104,0.92453,0.6466,1.01655,0.77312,1.14645,0.000155761,0.000155761,0.000155761
